member_id,book_id,Percentage_Comp,reading_time_date
4CBFC22C-E073-445D-A6B0-38CAC993CE1F,100200126,100,2/11/2017 21:14
40766A7C-B6B9-42A4-86AD-35FC2923C6A9,100200137,86,2/11/2017 14:21
A268883C-80DC-4E6C-BDC7-014F701B2033,100200139,100,2/12/2017 20:11
1F981D10-AAAA-4668-902C-91B656A2B541,100200144,100,2/11/2017 9:29
1F981D10-AAAA-4668-902C-91B656A2B541,100200145,100,2/11/2017 12:52
D85A8F14-BC5A-418E-8A8D-836BEDBBA3C7,100300393,99.1,2/11/2017 22:34
5266796D-1F5F-482D-B81D-0CA84B1628CF,100500234,78,2/10/2017 20:33
0F1217D3-4EDB-4B0F-9DF0-B186F2D07A21,100500340,100,2/10/2017 17:11
0F1217D3-4EDB-4B0F-9DF0-B186F2D07A21,100500341,100,2/11/2017 6:47
0F1217D3-4EDB-4B0F-9DF0-B186F2D07A21,100500342,100,2/11/2017 15:52
54B23D09-8C54-47C5-AEB9-91A6FA53FD71,100900210,100,2/9/2017 23:54
54B23D09-8C54-47C5-AEB9-91A6FA53FD71,100900211,100,2/10/2017 10:20
958D2CBC-0628-4834-B050-B3F3CEEEA902,100900218,12,2/11/2017 20:42
55168128-101B-4D7A-90B4-490FF9130F7D,101000055,100,2/11/2017 10:08
55168128-101B-4D7A-90B4-490FF9130F7D,101000056,100,2/11/2017 13:35
68FB4664-9838-46C5-9478-A99448C505E5,101100667,57.298,2/10/2017 19:25
CF9B371E-4862-4F62-8508-2F830B2C7312,101200217,100,2/10/2017 4:10
CF9B371E-4862-4F62-8508-2F830B2C7312,101200218,100,2/10/2017 18:07
0DA26E9E-75FE-40D6-A516-CBA72453188B,110100050,98,2/13/2017 7:28
EA3882CA-736D-43BB-8961-B120DFD95509,110100264,100,2/11/2017 4:45
EA3882CA-736D-43BB-8961-B120DFD95509,110100265,99,2/11/2017 12:02
55267301-2E9B-4598-B40B-4F9D2E41CC25,110100296,100,2/10/2017 1:55
55267301-2E9B-4598-B40B-4F9D2E41CC25,110100297,100,2/10/2017 18:00
55267301-2E9B-4598-B40B-4F9D2E41CC25,110100298,100,2/11/2017 0:18
55267301-2E9B-4598-B40B-4F9D2E41CC25,110100299,100,2/11/2017 16:27
8370109A-D9D3-42A7-91B4-8DC544FD5BFF,110200420,99,2/10/2017 11:15
F5AA949E-54D9-4EDC-ADB4-F1E259035CC9,110300344,100,2/11/2017 17:23
C5CADADE-2FED-4337-A5E1-96A4D05E561A,110400234,52,1/12/2017 4:01
C5CADADE-2FED-4337-A5E1-96A4D05E561A,110400235,100,2/11/2017 6:33
C5CADADE-2FED-4337-A5E1-96A4D05E561A,110400236,22,2/11/2017 7:14
04337AA0-16F7-4F15-9FBE-E01A2AD181A2,110400239,100,2/9/2016 14:51
36677AF7-114C-41BF-8B10-7C05E47B32F3,110400239,40,2/11/2017 20:45
04337AA0-16F7-4F15-9FBE-E01A2AD181A2,110400240,13,2/11/2017 19:02
05654119-1C07-463C-B8AF-00B6D0323D8B,110400240,19,2/11/2017 18:42
440C69FC-6B14-4F1A-B45D-115675741AB0,110400240,100,2/10/2017 20:37
698BBF26-986F-4850-9BAA-9D3795BF1BF3,110400240,100,2/11/2017 1:19
9A35783E-D9D9-4923-A0FE-980533E94CED,110400240,100,2/11/2017 5:56
A356FBC9-85A9-42AC-9395-E5C5E075A0D2,110400240,20,2/11/2017 11:21
EA14A8FF-87F2-463F-A6E1-8B2CA439D3D8,110400240,100,2/11/2017 11:43
FAFB4B34-56E2-4E1D-98A7-661F1F0746B0,110400240,100,2/10/2017 21:00
04337AA0-16F7-4F15-9FBE-E01A2AD181A2,110400241,93.6,2/13/2017 10:29
698BBF26-986F-4850-9BAA-9D3795BF1BF3,110400241,100,2/11/2017 2:43
9A35783E-D9D9-4923-A0FE-980533E94CED,110400241,100,2/11/2017 12:37
CC672AE7-41C9-425B-BC38-E473E1440F70,110400241,99.7,2/11/2017 3:48
FAFB4B34-56E2-4E1D-98A7-661F1F0746B0,110400241,100,2/10/2017 22:06
04337AA0-16F7-4F15-9FBE-E01A2AD181A2,110400242,100,2/10/2016 11:00
698BBF26-986F-4850-9BAA-9D3795BF1BF3,110400242,100,2/11/2017 20:53
CC672AE7-41C9-425B-BC38-E473E1440F70,110400242,99.4,2/11/2017 14:22
FAFB4B34-56E2-4E1D-98A7-661F1F0746B0,110400242,100,2/10/2017 23:15
04337AA0-16F7-4F15-9FBE-E01A2AD181A2,110400243,27.1,2/13/2017 18:50
FAFB4B34-56E2-4E1D-98A7-661F1F0746B0,110400243,56,2/11/2017 6:22
04337AA0-16F7-4F15-9FBE-E01A2AD181A2,110400244,100,2/10/2016 16:00
04337AA0-16F7-4F15-9FBE-E01A2AD181A2,110400245,10.3,2/14/2017 19:30
04337AA0-16F7-4F15-9FBE-E01A2AD181A2,110400246,99.9,2/15/2017 14:01
D30BD906-7404-4C68-B4A1-D53C040051CC,110400362,93.6,2/13/2017 17:55
43D3F1CC-6AAD-4419-9225-9476EC40A8EF,110400586,100,2/10/2017 13:59
9938CCFB-F713-4A6B-8F8E-CDFB416E71EF,110400586,99.773,2/11/2017 3:38
43D3F1CC-6AAD-4419-9225-9476EC40A8EF,110400587,100,2/11/2017 13:11
9938CCFB-F713-4A6B-8F8E-CDFB416E71EF,110400587,99.761,2/11/2017 6:02
C023676E-698A-4726-A779-4FA86A87D888,110400587,100,2/11/2017 8:09
C47D25B1-A2D3-4CD3-832B-EF76234ADCF5,110400587,99.2,2/10/2017 18:08
9938CCFB-F713-4A6B-8F8E-CDFB416E71EF,110400588,99.854,2/12/2017 3:04
C47D25B1-A2D3-4CD3-832B-EF76234ADCF5,110400588,99.6,2/11/2017 13:19
E476E03C-EFEC-4F2F-B562-F4153D51B4C6,110400679,100,2/10/2017 12:26
57A49F06-D9DF-4D04-AF17-3BECF8CA237A,110600103,98.888,2/11/2017 19:48
1BD012DE-4EC8-45F2-B054-C55381A887C8,110600104,100,2/10/2017 19:49
3674E576-7C62-4629-9685-0392F3975DF1,110600104,100,2/10/2017 14:19
40605D22-6320-4C05-83E4-6C4DA601DA3D,110600104,100,2/11/2017 10:34
57A49F06-D9DF-4D04-AF17-3BECF8CA237A,110600104,0,2/12/2017 11:33
61473D6E-F65D-4F4C-8AC0-BA85C80F9E0E,110600104,100,2/10/2017 16:01
94070D7D-6482-4191-94FA-069C75D51640,110600104,100,2/11/2017 11:09
B7BE5741-99F7-4C1A-8BB3-5F4CF7F24571,110600104,100,2/10/2017 17:02
C5435AB6-E242-4FE5-BF18-975BEBF246FE,110600104,100,2/11/2017 21:57
DE5EBA85-39AF-440B-87D1-FA65462F1D3F,110600104,100,2/10/2017 18:01
E476E03C-EFEC-4F2F-B562-F4153D51B4C6,110600104,100,2/11/2017 15:10
F7DF1AB3-DEC2-4E66-A51C-D2E3143E4096,110600104,100,2/11/2017 9:54
1BD012DE-4EC8-45F2-B054-C55381A887C8,110600105,100,2/11/2017 2:31
61473D6E-F65D-4F4C-8AC0-BA85C80F9E0E,110600105,100,2/10/2017 21:45
9A0DFB4A-C93E-4251-A994-8CD16D3F2DF8,110600105,100,2/9/2017 21:54
B7BE5741-99F7-4C1A-8BB3-5F4CF7F24571,110600105,100,2/10/2017 17:41
CC672AE7-41C9-425B-BC38-E473E1440F70,110600105,99.7,2/10/2017 2:07
1BD012DE-4EC8-45F2-B054-C55381A887C8,110600106,100,2/11/2017 10:15
61473D6E-F65D-4F4C-8AC0-BA85C80F9E0E,110600106,100,2/10/2017 23:09
9A0DFB4A-C93E-4251-A994-8CD16D3F2DF8,110600106,100,2/9/2017 23:53
B7BE5741-99F7-4C1A-8BB3-5F4CF7F24571,110600106,100,2/10/2017 23:15
CC672AE7-41C9-425B-BC38-E473E1440F70,110600106,99.4,2/10/2017 3:29
1BD012DE-4EC8-45F2-B054-C55381A887C8,110600107,100,2/11/2017 18:34
